Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
230.00	0.60407	693.95	0.0014410	2.5265	2.5279	11.894	48.906	74.883	1839.2	-0.019712	294.94	0.69880	0.048462	0.54861	1.8228	24.450	26.325	115.36	28.245	37.836	380.19	7.8430	7.7679	0.020503
231.00	0.63819	692.75	0.0014435	2.6013	2.6029	12.219	48.876	74.974	1831.9	-0.019600	290.48	0.69540	0.048080	0.57750	1.7316	24.471	26.353	115.03	28.319	37.954	380.84	7.6907	7.7967	0.020546
232.00	0.67388	691.54	0.0014460	2.6763	2.6780	12.543	48.847	75.063	1824.6	-0.019487	286.12	0.69200	0.047699	0.60762	1.6458	24.492	26.381	114.71	28.394	38.076	381.47	7.5424	7.8255	0.020590
233.00	0.71118	690.33	0.0014486	2.7514	2.7531	12.866	48.817	75.153	1817.3	-0.019373	281.87	0.68861	0.047319	0.63898	1.5650	24.513	26.408	114.39	28.470	38.200	382.10	7.3979	7.8544	0.020634
234.00	0.75015	689.12	0.0014511	2.8265	2.8284	13.188	48.788	75.241	1810.1	-0.019259	277.73	0.68523	0.046940	0.67164	1.4889	24.534	26.436	114.07	28.548	38.326	382.72	7.2572	7.8834	0.020680
235.00	0.79085	687.90	0.0014537	2.9018	2.9037	13.509	48.759	75.329	1802.8	-0.019145	273.68	0.68186	0.046562	0.70563	1.4172	24.554	26.463	113.76	28.627	38.455	383.34	7.1202	7.9125	0.020727
236.00	0.83333	686.68	0.0014563	2.9771	2.9792	13.829	48.729	75.417	1795.6	-0.019030	269.73	0.67849	0.046185	0.74099	1.3495	24.575	26.490	113.45	28.707	38.587	383.95	6.9866	7.9416	0.020775
237.00	0.87766	685.45	0.0014589	3.0525	3.0547	14.148	48.700	75.504	1788.4	-0.018914	265.88	0.67513	0.045809	0.77776	1.2857	24.595	26.517	113.14	28.789	38.722	384.55	6.8564	7.9708	0.020824
238.00	0.92388	684.22	0.0014615	3.1280	3.1303	14.465	48.671	75.591	1781.2	-0.018797	262.12	0.67178	0.045434	0.81598	1.2255	24.615	26.543	112.84	28.873	38.859	385.14	6.7295	8.0001	0.020874
239.00	0.97206	682.99	0.0014642	3.2036	3.2060	14.782	48.642	75.678	1774.1	-0.018680	258.44	0.66843	0.045060	0.85569	1.1686	24.635	26.570	112.54	28.957	38.999	385.73	6.6058	8.0294	0.020925
