Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
263.60	6.2621e-06	771.47	0.0012962	-96.621	-96.621	-260.03	289.23	359.85	1427.2	-0.045503	2892.5	0.14393	0.027915	4.8668e-05	20547.	-33.699	-31.507	-13.011	244.43	252.74	115.35	33.002	3.8271	0.0067106
263.66	6.3051e-06	771.43	0.0012963	-96.599	-96.599	-259.94	289.27	359.88	1426.9	-0.045499	2887.7	0.14392	0.027910	4.8991e-05	20412.	-33.684	-31.492	-13.010	244.47	252.79	115.36	32.968	3.8280	0.0067137
263.72	6.3483e-06	771.38	0.0012964	-96.577	-96.577	-259.86	289.30	359.91	1426.7	-0.045495	2882.9	0.14390	0.027905	4.9315e-05	20278.	-33.669	-31.477	-13.008	244.52	252.83	115.37	32.934	3.8290	0.0067168
263.78	6.3918e-06	771.33	0.0012965	-96.555	-96.555	-259.78	289.33	359.93	1426.4	-0.045491	2878.2	0.14389	0.027899	4.9642e-05	20144.	-33.655	-31.461	-13.007	244.56	252.87	115.38	32.900	3.8300	0.0067199
263.84	6.4355e-06	771.29	0.0012965	-96.533	-96.533	-259.70	289.36	359.96	1426.1	-0.045486	2873.4	0.14387	0.027894	4.9970e-05	20012.	-33.640	-31.446	-13.005	244.60	252.92	115.40	32.866	3.8310	0.0067230
263.90	6.4796e-06	771.24	0.0012966	-96.512	-96.512	-259.61	289.40	359.98	1425.8	-0.045482	2868.6	0.14385	0.027889	5.0301e-05	19880.	-33.625	-31.431	-13.004	244.65	252.96	115.41	32.832	3.8319	0.0067261
263.96	6.5239e-06	771.20	0.0012967	-96.490	-96.490	-259.53	289.43	360.01	1425.6	-0.045478	2863.9	0.14384	0.027884	5.0633e-05	19750.	-33.610	-31.415	-13.003	244.69	253.00	115.42	32.798	3.8329	0.0067291
264.02	6.5685e-06	771.15	0.0012968	-96.468	-96.468	-259.45	289.46	360.03	1425.3	-0.045474	2859.2	0.14382	0.027879	5.0967e-05	19620.	-33.595	-31.400	-13.001	244.73	253.05	115.44	32.765	3.8339	0.0067322
264.09	6.6134e-06	771.10	0.0012968	-96.446	-96.446	-259.36	289.50	360.06	1425.0	-0.045469	2854.4	0.14381	0.027874	5.1304e-05	19492.	-33.580	-31.385	-12.999	244.77	253.09	115.45	32.731	3.8348	0.0067353
264.15	6.6585e-06	771.06	0.0012969	-96.424	-96.424	-259.28	289.53	360.09	1424.7	-0.045465	2849.7	0.14379	0.027868	5.1642e-05	19364.	-33.565	-31.369	-12.998	244.82	253.13	115.46	32.697	3.8358	0.0067384
264.21	6.7040e-06	771.01	0.0012970	-96.402	-96.402	-259.20	289.56	360.11	1424.5	-0.045461	2845.0	0.14378	0.027863	5.1983e-05	19237.	-33.551	-31.354	-12.996	244.86	253.18	115.47	32.663	3.8368	0.0067415
264.27	6.7497e-06	770.97	0.0012971	-96.380	-96.380	-259.12	289.59	360.14	1424.2	-0.045456	2840.4	0.14376	0.027858	5.2325e-05	19111.	-33.536	-31.339	-12.995	244.90	253.22	115.49	32.630	3.8378	0.0067446
264.33	6.7957e-06	770.92	0.0012971	-96.359	-96.359	-259.03	289.63	360.16	1423.9	-0.045452	2835.7	0.14374	0.027853	5.2670e-05	18986.	-33.521	-31.323	-12.993	244.95	253.26	115.50	32.596	3.8387	0.0067477
264.39	6.8420e-06	770.88	0.0012972	-96.337	-96.337	-258.95	289.66	360.19	1423.6	-0.045448	2831.0	0.14373	0.027848	5.3017e-05	18862.	-33.506	-31.308	-12.991	244.99	253.31	115.51	32.563	3.8397	0.0067508
264.45	6.8886e-06	770.83	0.0012973	-96.315	-96.315	-258.87	289.69	360.21	1423.4	-0.045444	2826.4	0.14371	0.027842	5.3365e-05	18739.	-33.491	-31.292	-12.990	245.03	253.35	115.53	32.529	3.8407	0.0067539
264.51	6.9355e-06	770.78	0.0012974	-96.293	-96.293	-258.79	289.73	360.24	1423.1	-0.045439	2821.7	0.14370	0.027837	5.3716e-05	18616.	-33.476	-31.277	-12.988	245.08	253.39	115.54	32.496	3.8416	0.0067570
264.57	6.9827e-06	770.74	0.0012975	-96.271	-96.271	-258.70	289.76	360.27	1422.8	-0.045435	2817.1	0.14368	0.027832	5.4069e-05	18495.	-33.461	-31.262	-12.986	245.12	253.44	115.55	32.462	3.8426	0.0067601
264.63	7.0301e-06	770.69	0.0012975	-96.249	-96.249	-258.62	289.79	360.29	1422.6	-0.045431	2812.5	0.14366	0.027827	5.4424e-05	18374.	-33.447	-31.246	-12.984	245.16	253.48	115.56	32.429	3.8436	0.0067632
264.69	7.0779e-06	770.65	0.0012976	-96.228	-96.228	-258.54	289.83	360.32	1422.3	-0.045426	2807.9	0.14365	0.027822	5.4781e-05	18254.	-33.432	-31.231	-12.983	245.21	253.52	115.58	32.396	3.8446	0.0067663
264.75	7.1259e-06	770.60	0.0012977	-96.206	-96.206	-258.46	289.86	360.34	1422.0	-0.045422	2803.3	0.14363	0.027816	5.5141e-05	18135.	-33.417	-31.216	-12.981	245.25	253.57	115.59	32.362	3.8455	0.0067694
264.81	7.1743e-06	770.55	0.0012978	-96.184	-96.184	-258.37	289.89	360.37	1421.7	-0.045418	2798.8	0.14362	0.027811	5.5502e-05	18017.	-33.402	-31.200	-12.979	245.29	253.61	115.60	32.329	3.8465	0.0067725
264.87	7.2230e-06	770.51	0.0012978	-96.162	-96.162	-258.29	289.92	360.40	1421.5	-0.045413	2794.2	0.14360	0.027806	5.5866e-05	17900.	-33.387	-31.185	-12.977	245.34	253.65	115.62	32.296	3.8475	0.0067756
264.93	7.2719e-06	770.46	0.0012979	-96.140	-96.140	-258.21	289.96	360.42	1421.2	-0.045409	2789.6	0.14358	0.027801	5.6232e-05	17784.	-33.372	-31.169	-12.975	245.38	253.70	115.63	32.263	3.8485	0.0067787
265.00	7.3212e-06	770.42	0.0012980	-96.118	-96.118	-258.13	289.99	360.45	1420.9	-0.045405	2785.1	0.14357	0.027796	5.6600e-05	17668.	-33.357	-31.154	-12.973	245.42	253.74	115.64	32.230	3.8494	0.0067818
265.06	7.3708e-06	770.37	0.0012981	-96.096	-96.096	-258.04	290.02	360.47	1420.7	-0.045400	2780.6	0.14355	0.027791	5.6970e-05	17553.	-33.342	-31.139	-12.971	245.47	253.78	115.66	32.197	3.8504	0.0067849
265.12	7.4206e-06	770.33	0.0012982	-96.074	-96.074	-257.96	290.06	360.50	1420.4	-0.045396	2776.1	0.14354	0.027785	5.7342e-05	17439.	-33.328	-31.123	-12.969	245.51	253.83	115.67	32.164	3.8514	0.0067880
265.18	7.4708e-06	770.28	0.0012982	-96.053	-96.053	-257.88	290.09	360.53	1420.1	-0.045392	2771.6	0.14352	0.027780	5.7717e-05	17326.	-33.313	-31.108	-12.967	245.55	253.87	115.68	32.131	3.8523	0.0067911
265.24	7.5213e-06	770.23	0.0012983	-96.031	-96.031	-257.80	290.12	360.55	1419.8	-0.045388	2767.1	0.14350	0.027775	5.8094e-05	17214.	-33.298	-31.092	-12.965	245.60	253.91	115.69	32.098	3.8533	0.0067942
265.30	7.5721e-06	770.19	0.0012984	-96.009	-96.009	-257.71	290.16	360.58	1419.6	-0.045383	2762.6	0.14349	0.027770	5.8473e-05	17102.	-33.283	-31.077	-12.963	245.64	253.96	115.71	32.065	3.8543	0.0067973
265.36	7.6233e-06	770.14	0.0012985	-95.987	-95.987	-257.63	290.19	360.60	1419.3	-0.045379	2758.1	0.14347	0.027765	5.8854e-05	16991.	-33.268	-31.062	-12.961	245.68	254.00	115.72	32.032	3.8553	0.0068004
265.42	7.6747e-06	770.10	0.0012985	-95.965	-95.965	-257.55	290.22	360.63	1419.0	-0.045374	2753.7	0.14346	0.027759	5.9238e-05	16881.	-33.253	-31.046	-12.959	245.73	254.04	115.73	31.999	3.8562	0.0068036
265.48	7.7265e-06	770.05	0.0012986	-95.943	-95.943	-257.47	290.26	360.66	1418.7	-0.045370	2749.2	0.14344	0.027754	5.9624e-05	16772.	-33.238	-31.031	-12.957	245.77	254.09	115.75	31.966	3.8572	0.0068067
265.54	7.7786e-06	770.00	0.0012987	-95.921	-95.921	-257.38	290.29	360.68	1418.5	-0.045366	2744.8	0.14343	0.027749	6.0012e-05	16663.	-33.223	-31.015	-12.954	245.82	254.13	115.76	31.934	3.8582	0.0068098
265.60	7.8310e-06	769.96	0.0012988	-95.899	-95.899	-257.30	290.32	360.71	1418.2	-0.045361	2740.3	0.14341	0.027744	6.0403e-05	16556.	-33.208	-31.000	-12.952	245.86	254.17	115.77	31.901	3.8592	0.0068129
265.66	7.8837e-06	769.91	0.0012988	-95.878	-95.878	-257.22	290.35	360.74	1417.9	-0.045357	2735.9	0.14339	0.027739	6.0795e-05	16449.	-33.193	-30.985	-12.950	245.90	254.22	115.78	31.868	3.8601	0.0068160
265.72	7.9368e-06	769.87	0.0012989	-95.856	-95.856	-257.14	290.39	360.76	1417.7	-0.045353	2731.5	0.14338	0.027733	6.1191e-05	16342.	-33.178	-30.969	-12.948	245.95	254.26	115.80	31.836	3.8611	0.0068191
265.78	7.9901e-06	769.82	0.0012990	-95.834	-95.834	-257.05	290.42	360.79	1417.4	-0.045348	2727.1	0.14336	0.027728	6.1588e-05	16237.	-33.164	-30.954	-12.945	245.99	254.30	115.81	31.803	3.8621	0.0068222
265.84	8.0439e-06	769.78	0.0012991	-95.812	-95.812	-256.97	290.45	360.81	1417.1	-0.045344	2722.8	0.14335	0.027723	6.1988e-05	16132.	-33.149	-30.938	-12.943	246.03	254.35	115.82	31.771	3.8630	0.0068254
265.91	8.0979e-06	769.73	0.0012992	-95.790	-95.790	-256.89	290.49	360.84	1416.8	-0.045340	2718.4	0.14333	0.027718	6.2390e-05	16028.	-33.134	-30.923	-12.941	246.08	254.39	115.84	31.738	3.8640	0.0068285
265.97	8.1523e-06	769.68	0.0012992	-95.768	-95.768	-256.81	290.52	360.87	1416.6	-0.045335	2714.0	0.14331	0.027713	6.2795e-05	15925.	-33.119	-30.907	-12.938	246.12	254.43	115.85	31.706	3.8650	0.0068316
266.03	8.2070e-06	769.64	0.0012993	-95.746	-95.746	-256.72	290.55	360.89	1416.3	-0.045331	2709.7	0.14330	0.027707	6.3202e-05	15822.	-33.104	-30.892	-12.936	246.16	254.48	115.86	31.673	3.8660	0.0068347
266.09	8.2620e-06	769.59	0.0012994	-95.724	-95.724	-256.64	290.59	360.92	1416.0	-0.045327	2705.3	0.14328	0.027702	6.3611e-05	15720.	-33.089	-30.877	-12.933	246.21	254.52	115.87	31.641	3.8669	0.0068379
266.15	8.3174e-06	769.55	0.0012995	-95.702	-95.702	-256.56	290.62	360.95	1415.8	-0.045322	2701.0	0.14327	0.027697	6.4023e-05	15619.	-33.074	-30.861	-12.931	246.25	254.56	115.89	31.609	3.8679	0.0068410
266.21	8.3731e-06	769.50	0.0012995	-95.681	-95.681	-256.48	290.65	360.97	1415.5	-0.045318	2696.7	0.14325	0.027692	6.4437e-05	15519.	-33.059	-30.846	-12.928	246.29	254.61	115.90	31.576	3.8689	0.0068441
