Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
230.00	7.0060	481.07	0.0020787	3.4630	3.5068	16.782	44.261	82.025	959.38	-0.018091	98.173	0.12580	0.0090152	12.711	0.078672	14.352	16.010	71.143	40.091	55.599	254.15	2.5352	7.4693	0.014653
231.00	7.2449	479.52	0.0020854	3.5438	3.5893	17.133	44.323	82.328	951.35	-0.017208	97.071	0.12494	0.0088681	13.135	0.076132	14.373	16.032	70.997	40.304	56.058	254.00	2.5127	7.5089	0.014797
232.00	7.4898	477.95	0.0020923	3.6250	3.6721	17.485	44.385	82.638	943.29	-0.016304	95.980	0.12409	0.0087213	13.571	0.073689	14.394	16.054	70.853	40.517	56.524	253.83	2.4904	7.5489	0.014943
233.00	7.7407	476.38	0.0020992	3.7064	3.7552	17.835	44.448	82.955	935.22	-0.015377	94.901	0.12324	0.0085750	14.017	0.071340	14.415	16.075	70.710	40.730	57.000	253.66	2.4684	7.5892	0.015090
234.00	7.9978	474.80	0.0021062	3.7880	3.8387	18.186	44.513	83.279	927.13	-0.014426	93.834	0.12240	0.0084291	14.476	0.069079	14.435	16.096	70.568	40.944	57.484	253.46	2.4467	7.6299	0.015240
235.00	8.2610	473.21	0.0021132	3.8699	3.9224	18.536	44.579	83.611	919.03	-0.013450	92.777	0.12155	0.0082836	14.947	0.066904	14.455	16.117	70.427	41.159	57.977	253.26	2.4254	7.6710	0.015391
236.00	8.5305	471.60	0.0021204	3.9521	4.0065	18.885	44.646	83.951	910.91	-0.012448	91.731	0.12071	0.0081385	15.430	0.064809	14.475	16.137	70.287	41.374	58.479	253.04	2.4043	7.7124	0.015544
237.00	8.8064	469.99	0.0021277	4.0345	4.0909	19.235	44.714	84.298	902.77	-0.011420	90.696	0.11987	0.0079938	15.926	0.062792	14.494	16.157	70.147	41.589	58.992	252.81	2.3836	7.7543	0.015700
238.00	9.0887	468.36	0.0021351	4.1173	4.1756	19.584	44.784	84.654	894.61	-0.010364	89.671	0.11903	0.0078496	16.434	0.060848	14.514	16.177	70.009	41.805	59.515	252.56	2.3632	7.7966	0.015857
239.00	9.3776	466.72	0.0021426	4.2003	4.2607	19.933	44.854	85.019	886.43	-0.0092798	88.655	0.11820	0.0077058	16.956	0.058975	14.533	16.196	69.871	42.022	60.048	252.30	2.3431	7.8394	0.016017
240.00	9.6732	465.08	0.0021502	4.2836	4.3461	20.282	44.926	85.393	878.23	-0.0081651	87.650	0.11737	0.0075625	17.492	0.057169	14.552	16.215	69.734	42.239	60.594	252.03	2.3233	7.8826	0.016179
241.00	9.9755	463.41	0.0021579	4.3672	4.4319	20.630	44.999	85.777	870.01	-0.0070192	86.654	0.11654	0.0074197	18.042	0.055428	14.570	16.233	69.597	42.457	61.151	251.74	2.3039	7.9263	0.016343
242.00	10.285	461.74	0.0021657	4.4511	4.5180	20.979	45.074	86.170	861.77	-0.0058407	85.668	0.11571	0.0072773	18.605	0.053748	14.589	16.251	69.461	42.676	61.721	251.44	2.2847	7.9705	0.016510
243.00	10.601	460.05	0.0021737	4.5353	4.6046	21.327	45.149	86.574	853.51	-0.0046282	84.691	0.11489	0.0071354	19.184	0.052127	14.607	16.268	69.325	42.896	62.304	251.12	2.2659	8.0152	0.016680
244.00	10.924	458.35	0.0021817	4.6198	4.6915	21.675	45.226	86.988	845.22	-0.0033803	83.722	0.11406	0.0069940	19.777	0.050563	14.624	16.285	69.190	43.116	62.901	250.78	2.2474	8.0604	0.016852
245.00	11.254	456.64	0.0021899	4.7046	4.7787	22.023	45.304	87.414	836.91	-0.0020953	82.763	0.11324	0.0068531	20.386	0.049052	14.642	16.302	69.055	43.337	63.512	250.43	2.2293	8.1062	0.017026
246.00	11.591	454.91	0.0021982	4.7898	4.8664	22.371	45.384	87.852	828.58	-0.00077166	81.812	0.11242	0.0067127	21.011	0.047594	14.659	16.318	68.921	43.559	64.139	250.07	2.2114	8.1526	0.017204
247.00	11.936	453.17	0.0022067	4.8753	4.9545	22.719	45.465	88.302	820.22	0.00059246	80.869	0.11161	0.0065728	21.652	0.046184	14.676	16.333	68.787	43.782	64.783	249.69	2.1939	8.1996	0.017384
248.00	12.288	451.42	0.0022152	4.9611	5.0430	23.067	45.547	88.765	811.84	0.0019989	79.934	0.11079	0.0064334	22.310	0.044823	14.692	16.348	68.653	44.006	65.443	249.30	2.1766	8.2472	0.017568
249.00	12.648	449.65	0.0022240	5.0473	5.1319	23.415	45.630	89.242	803.43	0.0034497	79.007	0.10998	0.0062945	22.985	0.043506	14.708	16.363	68.519	44.231	66.121	248.88	2.1597	8.2955	0.017755
250.00	13.015	447.86	0.0022328	5.1339	5.2212	23.764	45.715	89.733	794.99	0.0049469	78.088	0.10917	0.0061562	23.678	0.042233	14.724	16.377	68.385	44.457	66.819	248.46	2.1431	8.3445	0.017945
251.00	13.390	446.06	0.0022419	5.2208	5.3110	24.112	45.802	90.240	786.52	0.0064929	77.176	0.10836	0.0060185	24.389	0.041002	14.739	16.390	68.252	44.684	67.536	248.01	2.1268	8.3942	0.018138
252.00	13.772	444.24	0.0022511	5.3081	5.4013	24.461	45.889	90.762	778.03	0.0080900	76.272	0.10756	0.0058813	25.118	0.039811	14.754	16.403	68.118	44.912	68.276	247.55	2.1108	8.4447	0.018335
253.00	14.163	442.40	0.0022604	5.3957	5.4920	24.809	45.979	91.301	769.50	0.0097409	75.374	0.10676	0.0057446	25.867	0.038659	14.769	16.415	67.984	45.142	69.037	247.08	2.0951	8.4959	0.018536
254.00	14.561	440.55	0.0022699	5.4838	5.5832	25.158	46.070	91.859	760.94	0.011448	74.484	0.10595	0.0056086	26.636	0.037543	14.783	16.427	67.850	45.372	69.823	246.59	2.0797	8.5480	0.018740
255.00	14.968	438.67	0.0022796	5.5723	5.6749	25.508	46.162	92.434	752.35	0.013215	73.600	0.10515	0.0054731	27.425	0.036462	14.797	16.438	67.716	45.605	70.634	246.08	2.0645	8.6009	0.018949
256.00	15.382	436.78	0.0022895	5.6612	5.7671	25.857	46.256	93.030	743.73	0.015045	72.723	0.10436	0.0053383	28.236	0.035416	14.810	16.448	67.581	45.838	71.473	245.55	2.0497	8.6547	0.019162
257.00	15.805	434.87	0.0022995	5.7505	5.8598	26.207	46.352	93.647	735.06	0.016940	71.851	0.10356	0.0052041	29.068	0.034402	14.823	16.458	67.446	46.074	72.340	245.01	2.0351	8.7095	0.019379
258.00	16.237	432.94	0.0023098	5.8402	5.9530	26.558	46.449	94.287	726.37	0.018905	70.986	0.10276	0.0050705	29.923	0.033419	14.836	16.467	67.311	46.311	73.238	244.45	2.0208	8.7652	0.019601
259.00	16.677	430.99	0.0023202	5.9304	6.0468	26.909	46.548	94.950	717.63	0.020944	70.127	0.10197	0.0049375	30.801	0.032467	14.848	16.476	67.175	46.549	74.168	243.87	2.0068	8.8220	0.019828
260.00	17.125	429.02	0.0023309	6.0211	6.1411	27.260	46.649	95.639	708.85	0.023061	69.273	0.10118	0.0048052	31.703	0.031543	14.859	16.483	67.038	46.790	75.134	243.27	1.9930	8.8799	0.020060
261.00	17.583	427.02	0.0023418	6.1123	6.2361	27.612	46.751	96.355	700.03	0.025261	68.424	0.10039	0.0046735	32.629	0.030647	14.870	16.490	66.901	47.032	76.138	242.66	1.9795	8.9388	0.020297
262.00	18.049	425.00	0.0023529	6.2039	6.3316	27.965	46.856	97.100	691.17	0.027548	67.581	0.099602	0.0045426	33.582	0.029778	14.880	16.497	66.763	47.277	77.181	242.02	1.9662	8.9990	0.020540
263.00	18.523	422.96	0.0023643	6.2961	6.4278	28.319	46.962	97.875	682.26	0.029928	66.742	0.098815	0.0044123	34.561	0.028934	14.890	16.502	66.623	47.524	78.268	241.37	1.9532	9.0604	0.020789
264.00	19.007	420.89	0.0023759	6.3888	6.5246	28.673	47.071	98.685	673.31	0.032407	65.909	0.098029	0.0042828	35.568	0.028115	14.900	16.506	66.483	47.773	79.401	240.70	1.9404	9.1231	0.021045
265.00	19.501	418.79	0.0023878	6.4820	6.6220	29.028	47.181	99.529	664.30	0.034991	65.079	0.097244	0.0041540	36.604	0.027319	14.908	16.510	66.342	48.024	80.583	240.01	1.9278	9.1872	0.021307
266.00	20.003	416.67	0.0024000	6.5758	6.7202	29.384	47.294	100.41	655.24	0.037687	64.254	0.096460	0.0040259	37.670	0.026546	14.916	16.513	66.199	48.278	81.820	239.30	1.9155	9.2528	0.021576
267.00	20.515	414.52	0.0024124	6.6702	6.8190	29.741	47.409	101.34	646.13	0.040503	63.433	0.095678	0.0038986	38.766	0.025796	14.924	16.515	66.055	48.535	83.115	238.57	1.9033	9.3199	0.021853
268.00	21.036	412.34	0.0024252	6.7652	6.9186	30.099	47.526	102.31	636.95	0.043447	62.615	0.094896	0.0037721	39.895	0.025066	14.930	16.516	65.910	48.794	84.472	237.82	1.8914	9.3886	0.022137
269.00	21.567	410.12	0.0024383	6.8608	7.0190	30.459	47.646	103.33	627.72	0.046528	61.800	0.094115	0.0036463	41.058	0.024356	14.936	16.516	65.762	49.057	85.898	237.05	1.8796	9.4590	0.022430
270.00	22.107	407.88	0.0024517	6.9571	7.1201	30.819	47.769	104.40	618.42	0.049756	60.989	0.093334	0.0035214	42.256	0.023665	14.941	16.515	65.613	49.323	87.398	236.26	1.8681	9.5312	0.022733
271.00	22.658	405.60	0.0024655	7.0541	7.2221	31.181	47.894	105.52	609.06	0.053142	60.180	0.092554	0.0033973	43.490	0.022994	14.946	16.512	65.463	49.592	88.978	235.45	1.8567	9.6054	0.023044
272.00	23.218	403.28	0.0024797	7.1518	7.3249	31.545	48.022	106.72	599.62	0.056699	59.374	0.091775	0.0032741	44.763	0.022340	14.949	16.509	65.310	49.865	90.647	234.62	1.8455	9.6815	0.023366
273.00	23.789	400.92	0.0024942	7.2503	7.4287	31.910	48.154	107.98	590.10	0.060439	58.570	0.090995	0.0031518	46.077	0.021703	14.952	16.504	65.154	50.142	92.412	233.77	1.8344	9.7598	0.023699
274.00	24.369	398.53	0.0025092	7.3495	7.5334	32.277	48.288	109.31	580.51	0.064378	57.767	0.090216	0.0030304	47.432	0.021083	14.954	16.499	64.997	50.423	94.284	232.89	1.8235	9.8404	0.024044
275.00	24.960	396.09	0.0025247	7.4496	7.6391	32.645	48.427	110.73	570.83	0.068531	56.966	0.089437	0.0029099	48.832	0.020479	14.955	16.492	64.836	50.709	96.272	231.99	1.8126	9.9235	0.024402
276.00	25.562	393.60	0.0025406	7.5505	7.7458	33.016	48.569	112.24	561.06	0.072918	56.165	0.088657	0.0027903	50.278	0.019890	14.954	16.483	64.673	50.999	98.389	231.07	1.8019	10.009	0.024773
277.00	26.174	391.07	0.0025571	7.6524	7.8537	33.389	48.715	113.85	551.19	0.077559	55.365	0.087877	0.0026718	51.773	0.019315	14.953	16.473	64.506	51.295	100.65	230.13	1.7913	10.098	0.025159
278.00	26.797	388.49	0.0025741	7.7552	7.9626	33.764	48.866	115.57	541.21	0.082477	54.565	0.087097	0.0025543	53.320	0.018755	14.951	16.462	64.337	51.596	103.07	229.16	1.7807	10.189	0.025561
279.00	27.431	385.85	0.0025917	7.8591	8.0728	34.142	49.022	117.42	531.13	0.087696	53.764	0.086316	0.0024378	54.922	0.018208	14.947	16.449	64.163	51.903	105.66	228.17	1.7702	10.283	0.025980
280.00	28.076	383.15	0.0026099	7.9640	8.1843	34.523	49.184	119.41	520.93	0.093248	52.962	0.085534	0.0023223	56.583	0.017673	14.942	16.434	63.986	52.216	108.46	227.16	1.7597	10.381	0.026418
281.00	28.732	380.39	0.0026289	8.0701	8.2972	34.907	49.351	121.56	510.60	0.099163	52.158	0.084752	0.0022080	58.305	0.017151	14.935	16.417	63.804	52.536	111.47	226.12	1.7493	10.483	0.026877
282.00	29.399	377.56	0.0026486	8.1774	8.4115	35.295	49.525	123.88	500.14	0.10548	51.352	0.083968	0.0020949	60.092	0.016641	14.928	16.399	63.618	52.864	114.75	225.05	1.7387	10.589	0.027358
283.00	30.078	374.66	0.0026691	8.2860	8.5274	35.686	49.707	126.41	489.54	0.11224	50.542	0.083184	0.0019829	61.950	0.016142	14.918	16.378	63.426	53.200	118.30	223.96	1.7281	10.699	0.027864
284.00	30.769	371.68	0.0026905	8.3960	8.6450	36.081	49.897	129.17	478.79	0.11949	49.728	0.082398	0.0018722	63.884	0.015653	14.907	16.355	63.230	53.544	122.19	222.84	1.7175	10.813	0.028398
285.00	31.471	368.62	0.0027128	8.5076	8.7643	36.480	50.097	132.19	467.87	0.12728	48.910	0.081611	0.0017628	65.898	0.015175	14.894	16.330	63.027	53.898	126.45	221.70	1.7066	10.933	0.028962
286.00	32.185	365.47	0.0027362	8.6207	8.8856	36.884	50.308	135.52	456.78	0.13568	48.085	0.080824	0.0016547	68.000	0.014706	14.879	16.302	62.817	54.263	131.15	220.52	1.6956	11.058	0.029559
287.00	32.912	362.21	0.0027608	8.7357	9.0089	37.294	50.531	139.20	445.51	0.14476	47.254	0.080036	0.0015480	70.196	0.014246	14.862	16.272	62.600	54.639	136.36	219.32	1.6843	11.190	0.030195
288.00	33.651	358.85	0.0027867	8.8525	9.1345	37.709	50.769	143.29	434.04	0.15459	46.414	0.079248	0.0014427	72.495	0.013794	14.843	16.238	62.375	55.028	142.17	218.09	1.6727	11.328	0.030873
289.00	34.403	355.36	0.0028140	8.9714	9.2625	38.131	51.023	147.86	422.37	0.16529	45.564	0.078462	0.0013389	74.905	0.013350	14.821	16.202	62.142	55.432	148.69	216.83	1.6607	11.474	0.031599
290.00	35.167	351.74	0.0028430	9.0926	9.3933	38.560	51.297	153.01	410.48	0.17695	44.703	0.077677	0.0012368	77.439	0.012913	14.796	16.161	61.898	55.851	156.06	215.54	1.6482	11.628	0.032380
291.00	35.944	347.98	0.0028738	9.2163	9.5269	38.997	51.594	158.84	398.36	0.18971	43.830	0.076897	0.0011363	80.110	0.012483	14.768	16.117	61.644	56.288	164.46	214.21	1.6351	11.791	0.033224
292.00	36.735	344.05	0.0029066	9.3427	9.6638	39.443	51.919	165.50	386.00	0.20373	42.941	0.076123	0.0010375	82.931	0.012058	14.737	16.069	61.378	56.745	174.13	212.86	1.6214	11.965	0.034142
293.00	37.538	339.93	0.0029418	9.4722	9.8043	39.899	52.276	173.19	373.38	0.21918	42.036	0.075360	0.00094066	85.922	0.011638	14.701	16.015	61.097	57.224	185.37	211.47	1.6067	12.151	0.035145
294.00	38.356	335.61	0.0029796	9.6051	9.9488	40.367	52.671	182.15	360.50	0.23630	41.111	0.074613	0.00084576	89.105	0.011223	14.662	15.956	60.801	57.731	198.60	210.04	1.5911	12.350	0.036250
