Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
230.00	8.3828	1086.0	0.00092085	3.4852	3.5192	16.888	40.392	80.489	845.46	-0.011869	undefined	undefined	0.013443	21.819	0.045831	15.730	17.421	77.332	31.824	46.741	221.20	2.2858	undefined	undefined
231.00	8.6927	1082.4	0.00092385	3.5647	3.6001	17.233	40.370	80.698	839.07	-0.011327	undefined	undefined	0.013230	22.603	0.044242	15.743	17.435	77.126	31.969	47.099	221.19	2.2588	undefined	undefined
232.00	9.0111	1078.9	0.00092689	3.6444	3.6812	17.578	40.349	80.912	832.68	-0.010771	undefined	undefined	0.013018	23.409	0.042719	15.754	17.449	76.921	32.115	47.463	221.17	2.2323	undefined	undefined
233.00	9.3380	1075.3	0.00092998	3.7242	3.7625	17.922	40.329	81.133	826.28	-0.010199	undefined	undefined	0.012807	24.237	0.041259	15.766	17.462	76.717	32.260	47.835	221.13	2.2063	undefined	undefined
234.00	9.6737	1071.7	0.00093309	3.8042	3.8440	18.265	40.309	81.361	819.88	-0.0096133	undefined	undefined	0.012596	25.089	0.039858	15.777	17.474	76.515	32.406	48.214	221.09	2.1809	undefined	undefined
235.00	10.018	1068.1	0.00093625	3.8844	3.9257	18.607	40.290	81.595	813.47	-0.0090113	undefined	undefined	0.012387	25.964	0.038514	15.789	17.487	76.314	32.552	48.600	221.04	2.1560	undefined	undefined
236.00	10.372	1064.4	0.00093945	3.9648	4.0077	18.949	40.271	81.836	807.05	-0.0083931	undefined	undefined	0.012178	26.864	0.037225	15.799	17.499	76.114	32.699	48.995	220.98	2.1316	undefined	undefined
237.00	10.734	1060.8	0.00094270	4.0453	4.0899	19.290	40.253	82.084	800.63	-0.0077581	undefined	undefined	0.011969	27.788	0.035986	15.810	17.510	75.915	32.846	49.398	220.91	2.1076	undefined	undefined
238.00	11.106	1057.1	0.00094598	4.1261	4.1723	19.631	40.236	82.340	794.20	-0.0071057	undefined	undefined	0.011762	28.738	0.034797	15.820	17.521	75.718	32.993	49.810	220.83	2.0842	undefined	undefined
239.00	11.487	1053.4	0.00094931	4.2070	4.2550	19.971	40.219	82.603	787.76	-0.0064353	undefined	undefined	0.011555	29.714	0.033654	15.830	17.531	75.521	33.141	50.230	220.74	2.0612	undefined	undefined
240.00	11.878	1049.7	0.00095268	4.2881	4.3379	20.311	40.203	82.875	781.31	-0.0057462	undefined	undefined	0.011349	30.717	0.032555	15.840	17.541	75.325	33.289	50.660	220.64	2.0387	undefined	undefined
